id,lat,lon,user,uid,version,changeset,timestamp
196625408,42.9645494,-87.8683006,Gary Cox,383843,5,10755998,2012-02-22T05:17:12Z
196625466,43.0211517,-87.9154487,ItalianMustache,1743198,4,37650152,2016-03-06T17:56:20Z
196625528,43.0208617,-87.9887188,woodpeck_fixbot,147510,3,2151937,2009-08-15T11:09:56Z
196625619,43.0232396,-87.9126373,ItalianMustache,1743198,7,37619410,2016-03-05T00:17:15Z
196625649,43.0224012,-87.9450055,Gary Cox,383843,5,7801408,2011-04-08T07:23:25Z
196625684,43.0206563,-87.9694792,Gary Cox,383843,3,7263654,2011-02-12T11:50:53Z
196625735,43.0147747,-87.9943232,FightingIrish1,1704100,4,18420734,2013-10-18T14:30:11Z
196625774,43.0105577,-88.0161868,Gary Cox,383843,5,6865970,2011-01-04T21:18:15Z
196625807,42.994916,-88.0450458,FightingIrish1,1704100,6,18402570,2013-10-17T12:35:09Z
196625869,43.0168172,-87.978045,maxerickson,360392,6,18559843,2013-10-27T01:06:45Z
196625925,42.9783739,-87.9793164,Gary Cox,383843,3,7419225,2011-02-28T10:38:07Z
196626009,42.9317775,-87.9115867,fredjunod,84054,5,14249931,2012-12-12T14:51:36Z
196626058,43.0201439,-87.9112165,Gary Cox,383843,4,8491133,2011-06-20T05:40:42Z
196626108,42.90898,-87.913819,whammypower788,108601,4,8173572,2011-05-17T16:47:28Z
196626169,42.9627269,-87.9047076,ItalianMustache,1743198,5,33785688,2015-09-04T04:03:52Z
196626222,43.0999601,-88.0191042,cncr04s,1533276,3,16894100,2013-07-10T00:51:52Z
196626284,43.0387868,-87.9160229,bbauter,156587,6,5263072,2010-07-19T17:21:09Z
196626330,43.0387734,-87.9490275,ItalianMustache,1743198,6,34866332,2015-10-25T19:02:22Z
196626366,43.0387105,-87.9753183,bbauter,156587,5,7786583,2011-04-06T16:28:49Z
196626404,43.038839,-88.0048431,ItalianMustache,1743198,6,32143574,2015-06-22T17:15:35Z
196626451,43.0383508,-88.0366462,maxerickson,360392,6,18927080,2013-11-16T04:48:44Z
196626501,43.051843,-88.0175177,adbrown,54598,3,4501093,2010-04-23T07:23:44Z
196626586,42.9978334,-87.97694,ItalianMustache,1743198,4,26897665,2014-11-19T23:04:36Z
196626634,42.9795291,-87.9467829,ItalianMustache,1743198,5,33785740,2015-09-04T04:15:12Z
196626684,42.9792458,-87.938775,Mulad,502142,5,19525289,2013-12-19T03:38:41Z
196626734,43.1668554,-87.9903025,adbrown,54598,3,5549268,2010-08-21T06:56:35Z
196626781,43.0165121,-88.0483735,ItalianMustache,1743198,6,37029701,2016-02-05T21:59:37Z
196626832,42.9619017,-87.8551387,whammypower788,108601,3,3764991,2010-02-01T04:42:03Z
196626877,42.9799245,-88.063133,Gary Cox,383843,3,7037618,2011-01-21T07:44:45Z
196626939,43.1428229,-88.0327153,adbrown,54598,4,10120772,2011-12-15T01:53:38Z
196627017,43.079429,-87.8743169,woodpeck_fixbot,147510,5,2151937,2009-08-15T11:10:49Z
196627073,43.0981477,-88.0083929,maxerickson,360392,4,18611634,2013-10-30T04:35:44Z
196627142,43.1374015,-87.9199742,woodpeck_fixbot,147510,4,2151937,2009-08-15T11:10:51Z
196627244,43.0902648,-87.9221452,maxerickson,360392,4,18639573,2013-10-31T18:11:32Z
196627330,43.0574803,-87.9659085,ItalianMustache,1743198,3,32965397,2015-07-29T20:25:47Z
196627372,43.1294488,-87.963933,Ivan Komarov,69864,4,6234614,2010-10-31T01:43:39Z
196627427,43.1111555,-87.9650319,adbrown,54598,3,7712847,2011-03-30T04:36:44Z
196627468,43.1509432,-87.9638342,whammypower788,108601,4,4068840,2010-03-08T05:36:25Z
196627557,42.9200951,-88.0594055,Rub21,510836,3,17142837,2013-07-29T18:14:12Z
196627647,43.0160207,-87.9329361,woodpeck_fixbot,147510,3,2151937,2009-08-15T11:11:00Z
196627700,43.0576031,-87.8920183,shuui,1952296,6,44264102,2016-12-08T18:36:58Z
196627752,43.1508881,-87.9344348,maxerickson,360392,5,18618243,2013-10-30T14:34:38Z
196627797,43.1147498,-88.0004386,Ivan Komarov,69864,3,11016307,2012-03-18T09:20:47Z
196627845,43.1358146,-87.9177684,woodpeck_fixbot,147510,4,2151937,2009-08-15T11:11:05Z
